store_id,store_name,city,state,region,store_type,opened_date
ST001,Store 001,Kolkata,West Bengal,EAST,HYPERMARKET,2022-01-16
ST002,Store 002,Mumbai,Maharashtra,WEST,MALL,2024-09-15
ST003,Store 003,Ahmedabad,Gujarat,south,HIGH_STREET,2023-08-19
ST004,Store 004,Bengaluru,Karnataka,SOUTH,HYPERMARKET,2024-07-28
ST005,Store 005,Mumbai,Maharashtra,WEST,HYPERMARKET,2023-05-07
ST006,Store 006,Jaipur,Rajasthan,NORTH,EXPRESS,2020-02-30
ST007,Store 007,Hyderabad,Telangana,SOUTH,HIGH_STREET,2021-06-12
ST008,Store 008,Delhi,Delhi,NORTH,HIGH_STREET,2019-09-03
ST009,Store 009,Hyderabad,Telangana,SOUTH,HIGH_STREET,2022-11-27
ST010,Store 010,Chennai,Tamil Nadu,SOUTH,HYPERMARKET,2020-07-13
ST011,Store 011,Hyderabad,Telangana,SOUTH,HIGH_STREET,2019-05-28
ST012,Store 012,Gurugram,Haryana,NORTH,EXPRESS,2021-11-15
ST013,Store 013,Chennai,Tamil Nadu,SOUTH,EXPRESS,2022-12-21
ST014,Store 014,Pune,Maharashtra,WEST,HIGH_STREET,2018-02-11
ST015,Store 015,Jaipur,Rajasthan,NORTH,MALL,2023-03-06
ST016,Store 016,Mumbai,Maharashtra,WEST,MALL,2022-04-10
ST017,Store 017,Pune,Maharashtra,WEST,EXPRESS,2018-12-21
ST018,Store 018,Gurugram,Haryana,NORTH,EXPRESS,2019-08-24
ST019,Store 019,Chennai,Tamil Nadu,SOUTH,EXPRESS,2023-03-20
ST020,Store 020,Gurugram,Haryana,NORTH,HYPERMARKET,2022-02-16
ST021,Store 021,Bengaluru,Karnataka,SOUTH,HIGH_STREET,2021-11-04
ST022,Store 022,Ahmedabad,Gujarat,WEST,HIGH_STREET,2023-05-30
ST023,Store 023,Jaipur,Rajasthan,NORTH,MALL,2018-09-11
ST024,Store 024,Delhi,Delhi,NORTH,HIGH_STREET,2022-06-25
ST025,Store 025,Gurugram,Haryana,NORTH,HIGH_STREET,2020-03-06
ST026,Store 026,Chennai,Tamil Nadu,SOUTH,HYPERMARKET,2022-11-15
ST027,Store 027,Pune,Maharashtra,WEST,HIGH_STREET,2020-11-22
ST028,Store 028,Chennai,Tamil Nadu,SOUTH,HIGH_STREET,2023-12-23
ST029,Store 029,Delhi,Delhi,NORTH,HYPERMARKET,2019-10-15
ST030,Store 030,Ahmedabad,Gujarat,WEST,HIGH_STREET,2023-03-22
ST031,Store 031,Chennai,Tamil Nadu,SOUTH,HIGH_STREET,2023-07-30
ST032,Store 032,Chennai,Tamil Nadu,SOUTH,HIGH_STREET,2021-10-12
ST033,Store 033,Jaipur,Rajasthan,NORTH,HIGH_STREET,2019-02-22
ST034,Store 034,Hyderabad,Telangana,SOUTH,HIGH_STREET,2020-07-28
ST035,Store 035,Kolkata,West Bengal,EAST,MALL,2018-01-29
ST036,Store 036,Ahmedabad,Gujarat,WEST,EXPRESS,2019-08-07
ST037,Store 037,Pune,Maharashtra,WEST,EXPRESS,2018-05-20
ST038,Store 038,Pune,Maharashtra,WEST,HYPERMARKET,2018-02-15
ST039,Store 039,Mumbai,Maharashtra,WEST,HIGH_STREET,2020-02-22
ST040,Store 040,Pune,Maharashtra,WEST,HIGH_STREET,2019-05-23
ST041,Store 041,Ahmedabad,Gujarat,WEST,HIGH_STREET,2023-12-25
ST042,Store 042,Mumbai,Maharashtra,WEST,EXPRESS,2022-06-21
ST043,Store 043,Bengaluru,Karnataka,SOUTH,HIGH_STREET,2022-01-14
ST044,Store 044,Kolkata,West Bengal,EAST,MALL,2021-01-08
ST045,Store 045,Kolkata,West Bengal,EAST,HIGH_STREET,2022-12-07
ST046,Store 046,Bengaluru,Karnataka,SOUTH,EXPRESS,2019-04-11
ST047,Store 047,Kolkata,West Bengal,EAST,HYPERMARKET,2024-05-29
ST048,Store 048,Gurugram,Haryana,NORTH,MALL,2022-05-01
ST049,Store 049,Mumbai,Maharashtra,WEST,EXPRESS,2021-12-31
ST050,Store 050,Mumbai,Maharashtra,WEST,EXPRESS,2019-08-14
