product_id,product_name,category,brand,supplier_id,unit_price,created_at,updated_at
P01001,Fashion Product 1001,FASHION,Zenith,SUP0050,14541.13,2026-09-01 09:00:00,2026-09-01 09:00:00
P01002,Electronics Product 1002,ELECTRONICS,Nova,SUP0079,4562.67,2026-09-01 09:00:00,2026-09-01 09:00:00
P01003,Sports Product 1003,SPORTS,UrbanCart,SUP0072,2369.52,2026-09-01 09:00:00,2026-09-01 09:00:00
P01004,Grocery Product 1004,GROCERY,UrbanCart,SUP0047,12648.33,2026-09-01 09:00:00,2026-09-01 09:00:00
P01005,Grocery Product 1005,GROCERY,UrbanCart,SUP0021,12952.08,2026-09-01 09:00:00,2026-09-01 09:00:00
P01006,Electronics Product 1006,ELECTRONICS,Apex,SUP0082,4049.04,2026-09-01 09:00:00,2026-09-01 09:00:00
P01007,Fashion Product 1007,FASHION,Nova,SUP0041,11071.80,2026-09-01 09:00:00,2026-09-01 09:00:00
P01008,Sports Product 1008,SPORTS,UrbanCart,SUP0060,12768.74,2026-09-01 09:00:00,2026-09-01 09:00:00
P01009,Beauty Product 1009,BEAUTY,UrbanCart,SUP0058,10475.37,2026-09-01 09:00:00,2026-09-01 09:00:00
P01010,Fashion Product 1010,FASHION,Nova,SUP0100,11792.35,2026-09-01 09:00:00,2026-09-01 09:00:00
P01011,Grocery Product 1011,GROCERY,Vertex,SUP0038,4294.31,2026-09-01 09:00:00,2026-09-01 09:00:00
P01012,Office Product 1012,OFFICE,Zenith,SUP0014,3311.30,2026-09-01 09:00:00,2026-09-01 09:00:00
P01013,Fashion Product 1013,FASHION,UrbanCart,SUP0033,2757.90,2026-09-01 09:00:00,2026-09-01 09:00:00
P01014,Fashion Product 1014,FASHION,Apex,SUP0038,13509.40,2026-09-01 09:00:00,2026-09-01 09:00:00
P01015,Fashion Product 1015,FASHION,UrbanCart,SUP0064,2431.26,2026-09-01 09:00:00,2026-09-01 09:00:00
P01016,Electronics Product 1016,ELECTRONICS,Zenith,SUP0067,14808.56,2026-09-01 09:00:00,2026-09-01 09:00:00
P01017,Sports Product 1017,SPORTS,Zenith,SUP0020,9016.21,2026-09-01 09:00:00,2026-09-01 09:00:00
P01018,Sports Product 1018,SPORTS,PrimeHome,SUP0045,520.96,2026-09-01 09:00:00,2026-09-01 09:00:00
