sale_id,customer_id,product_id,store_id,sale_date,quantity,unit_price,discount,payment_method
S0000001,C03012,P00099,ST032,2026-04-24 14:39:00,3,7954.37,0.10,COD
S0000002,C02648,P00031,ST014,2026-03-16 20:52:00,8,13784.17,0.00,WALLET
S0000003,C04280,P00439,ST034,2026-07-05 19:13:00,5,11875.56,0.00,WALLET
S0000004,C01749,P00570,ST041,2026-01-20 07:38:00,8,8154.82,0.15,WALLET
S0000005,C04243,P00480,ST014,2026-04-19 02:44:00,6,2188.07,0.00,CARD
S0000006,C00775,P00169,ST039,2026-07-11 18:52:00,7,11639.94,0.05,COD
S0000007,C00662,P00799,ST044,2026-01-16 04:21:00,1,5194.85,0.10,NET_BANKING
S0000008,C04293,P00445,ST026,2026-01-19 12:41:00,8,9889.85,0.00,COD
S0000009,C03421,P00507,ST031,2026-02-17 09:53:00,7,13477.84,0.00,CARD
S0000010,C04781,P00573,ST023,2026-02-15 23:00:00,4,7520.25,0.15,COD
S0000011,C02543,P00190,ST010,2026-08-29 12:10:00,3,6844.10,0.00,COD
S0000012,C04637,P00361,ST049,2026-07-25 07:58:00,8,3502.39,0.05,CARD
S0000013,C03397,P00587,ST015,2026-05-12 19:21:00,5,7939.21,0.00,CARD
S0000014,C04612,P00570,ST023,2026-06-14 23:18:00,7,8154.82,0.05,NET_BANKING
S0000015,C03015,P00798,ST013,2026-02-08 15:03:00,8,2788.26,0.00,UPI
S0000016,C01226,P00055,ST048,2026-02-16 00:42:00,3,8397.51,0.10,CARD
S0000017,C03081,P00390,ST015,2026-03-27 11:47:00,7,5645.91,0.10,CARD
S0000018,C01523,P00738,ST011,2026-04-15 09:58:00,8,14125.52,0.05,WALLET
S0000019,C04903,P00219,ST005,2026-08-07 21:25:00,1,13496.03,0.00,WALLET
S0000020,C00274,P00127,ST039,2026-01-06 09:35:00,7,11914.83,0.10,UPI
S0000021,C03624,P00766,ST014,2026-03-20 13:19:00,5,889.54,0.10,WALLET
S0000022,C04678,P00908,ST041,2026-04-12 21:30:00,6,10685.50,0.15,COD
S0000023,C02289,P00646,ST006,2026-09-05 13:50:00,1,1788.47,0.15,UPI
S0000024,C01621,P00614,ST032,2026-02-19 13:18:00,6,71.45,0.15,UPI
S0000025,C02340,P00015,ST023,2026-09-09 07:45:00,5,6091.54,0.10,NET_BANKING
S0000026,C04708,P00985,ST020,2026-05-11 15:50:00,4,12971.94,0.00,WALLET
S0000027,C04499,P00452,ST004,2026-06-16 04:32:00,1,3389.85,0.05,NET_BANKING
S0000028,C02825,P00448,ST006,2026-04-08 14:34:00,5,9484.91,0.10,NET_BANKING
S0000029,C04862,P00093,ST034,2026-09-15 07:28:00,5,1874.43,0.00,COD
S0000030,C00356,P00364,ST039,2026-07-26 16:20:00,4,12302.90,0.15,UPI
S0000031,C01293,P00405,ST048,2026-06-15 01:09:00,4,11768.32,0.00,WALLET
S0000032,C04675,P00882,ST042,2026-07-19 08:25:00,3,1160.87,0.05,CARD
S0000033,C01903,P00306,ST023,2026-05-09 16:25:00,6,8871.87,0.00,UPI
S0000034,C00837,P00192,ST044,2026-07-02 12:02:00,4,1641.73,0.15,NET_BANKING
S0000035,C00042,P00066,ST034,2026-01-24 06:21:00,5,13989.36,0.10,WALLET
S0000036,C03128,P00298,ST028,2026-01-01 09:37:00,1,14106.08,0.00,NET_BANKING
S0000037,C02127,P00413,ST029,2026-05-22 14:27:00,2,8913.27,0.00,NET_BANKING
S0000038,C01526,P00084,ST012,2026-03-01 10:02:00,4,9370.43,0.15,NET_BANKING
S0000039,C02565,P00716,ST023,2026-07-29 22:32:00,2,3403.75,0.15,UPI
S0000040,C02480,P00044,ST008,2026-06-10 16:38:00,4,10352.60,0.00,CARD
S0000041,C01074,P00382,ST035,2026-08-01 22:45:00,7,14341.57,0.00,UPI
S0000042,C01831,P00835,ST033,2026-06-10 10:47:00,1,14703.43,0.00,CARD
S0000043,C02775,P00601,ST031,2026-04-09 16:00:00,2,9389.35,0.00,UPI
S0000044,C02411,P00189,ST023,2026-08-27 03:34:00,2,10563.30,0.05,WALLET
S0000045,C03153,P00057,ST048,2026-02-16 19:18:00,2,6283.79,0.00,NET_BANKING
