product_id,product_name,category,brand,supplier_id,unit_price,created_at,updated_at
P00001,Home Product 1,GROCERY,PrimeHome,SUP0002,14748.70,2025-09-27 00:00:00,2025-12-31 00:00:00
P00002,Home Product 2,GROCERY,UrbanCart,SUP0003,14309.77,2026-03-09 00:00:00,2026-05-09 00:00:00
P00003,Beauty Product 3,BEAUTY,Nova,SUP0004,9487.90,2025-05-14 00:00:00,2025-11-11 00:00:00
P00004,Office Product 4,ELECTRONICS,UrbanCart,SUP0005,7022.90,2025-01-14 00:00:00,2025-06-19 00:00:00
P00005,Electronics Product 5,ELECTRONICS,FreshWay,SUP0006,3720.45,2025-03-22 00:00:00,2025-06-18 00:00:00
P00006,Office Product 6,FASHION,UrbanCart,SUP0007,12375.85,2026-08-22 00:00:00,2026-09-20 00:00:00
P00007,Sports Product 7,FASHION,Zenith,SUP0008,8987.92,2025-03-22 00:00:00,2025-08-24 00:00:00
P00008,Office Product 8,HOME,Nova,SUP0009,1347.12,2026-02-13 00:00:00,2026-03-21 00:00:00
P00009,Sports Product 9,GROCERY,FreshWay,SUP0010,14426.84,2025-11-22 00:00:00,2026-02-10 00:00:00
P00010,Beauty Product 10, electronics ,UrbanCart,SUP0011,10965.99,2026-02-16 00:00:00,2026-06-26 00:00:00
P00011,Beauty Product 11,ELECTRONICS,PrimeHome,SUP0012,9660.40,2026-04-05 00:00:00,2026-09-27 00:00:00
P00012,Sports Product 12,BEAUTY,FreshWay,SUP0013,50.90,2026-02-23 00:00:00,2026-09-05 00:00:00
P00013,Fashion Product 13,SPORTS,Vertex,SUP0014,6028.43,2026-04-18 00:00:00,2026-10-11 00:00:00
P00014,Sports Product 14,GROCERY,FreshWay,SUP0015,9230.95,2026-01-28 00:00:00,2026-08-15 00:00:00
P00015,Fashion Product 15,GROCERY,UrbanCart,SUP0016,6091.54,2026-01-17 00:00:00,2026-06-29 00:00:00
P00016,Home Product 16,ELECTRONICS,PrimeHome,SUP0017,9646.46,2026-08-24 00:00:00,2026-09-20 00:00:00
P00017,Fashion Product 17,GROCERY,FreshWay,SUP0018,3528.42,2025-10-10 00:00:00,2025-12-18 00:00:00
P00018,Fashion Product 18,GROCERY,PrimeHome,SUP0019,10580.36,2025-01-04 00:00:00,2025-05-21 00:00:00
P00019,Home Product 19,OFFICE,Nova,SUP0020,4767.41,2026-03-09 00:00:00,2026-07-20 00:00:00
P00020,Sports Product 20,SPORTS,Vertex,SUP0021,-500,2025-09-05 00:00:00,2025-10-24 00:00:00
P00021,Home Product 21,ELECTRONICS,UrbanCart,SUP0022,abc,2025-03-10 00:00:00,2025-04-11 00:00:00
P00022,,BEAUTY,Nova,SUP0023,4659.49,2026-06-29 00:00:00,2026-09-25 00:00:00
P00023,Office Product 23,home,Apex,SUP0024,8298.86,2026-04-07 00:00:00,2026-05-10 00:00:00
P00024,Beauty Product 24,FASHION,FreshWay,SUP0025,7530.12,2025-09-17 00:00:00,2025-11-08 00:00:00
P00025,Beauty Product 25,HOME,Zenith,SUP0026,4571.56,2025-09-25 00:00:00,2025-11-06 00:00:00
P00026,Grocery Product 26,HOME,PrimeHome,SUP0027,3973.71,2025-01-03 00:00:00,2025-02-08 00:00:00
P00027,Fashion Product 27,OFFICE,FreshWay,SUP0028,2538.93,2025-01-18 00:00:00,2025-07-31 00:00:00
P00028,Office Product 28,SPORTS,Vertex,SUP0029,9694.84,2025-08-20 00:00:00,2025-11-29 00:00:00
P00029,Sports Product 29,FASHION,FreshWay,SUP0030,10510.24,2025-03-26 00:00:00,2025-07-18 00:00:00
P00030,Home Product 30,OFFICE,Zenith,SUP0031,7478.66,2026-02-28 00:00:00,2026-05-26 00:00:00
P00031,Grocery Product 31,ELECTRONICS,Apex,SUP0032,13784.17,2025-04-08 00:00:00,2025-05-07 00:00:00
P00032,Fashion Product 32,GROCERY,Nova,SUP0033,2163.25,2026-06-02 00:00:00,2026-10-21 00:00:00
P00033,Grocery Product 33,HOME,Vertex,SUP0034,11598.07,2026-01-18 00:00:00,2026-06-13 00:00:00
P00034,Home Product 34,GROCERY,PrimeHome,SUP0035,14038.19,2025-03-22 00:00:00,2025-08-16 00:00:00
P00035,Fashion Product 35,GROCERY,FreshWay,SUP0036,1827.96,2026-01-09 00:00:00,2026-06-08 00:00:00
P00036,Home Product 36,SPORTS,Zenith,SUP0037,9317.16,2025-12-02 00:00:00,2026-05-08 00:00:00
P00037,Home Product 37,FASHION,FreshWay,SUP0038,11915.11,2026-06-20 00:00:00,2026-07-19 00:00:00
P00038,Sports Product 38,BEAUTY,UrbanCart,SUP0039,5447.04,2025-06-24 00:00:00,2025-11-13 00:00:00
P00039,Beauty Product 39,BEAUTY,UrbanCart,SUP0040,11380.58,2025-04-24 00:00:00,2025-06-18 00:00:00
P00040,Sports Product 40,GROCERY,Zenith,SUP0041,1501.66,2025-08-09 00:00:00,2025-10-14 00:00:00
P00041,Sports Product 41,OFFICE,PrimeHome,SUP0042,1420.91,2025-11-15 00:00:00,2026-05-27 00:00:00
P00042,Fashion Product 42,ELECTRONICS,Apex,SUP0043,14409.73,2025-02-12 00:00:00,2025-03-10 00:00:00
P00043,Office Product 43,BEAUTY,Apex,SUP0044,3923.78,2025-09-22 00:00:00,2026-03-31 00:00:00
P00044,Home Product 44,GROCERY,Nova,SUP0045,10352.60,2025-06-27 00:00:00,2025-10-09 00:00:00
P00045,Beauty Product 45,FASHION,Zenith,SUP0046,3670.33,2026-08-12 00:00:00,2026-09-04 00:00:00
P00046,Grocery Product 46,ELECTRONICS,PrimeHome,SUP0047,4750.20,2025-04-15 00:00:00,2025-08-23 00:00:00
P00047,Home Product 47,ELECTRONICS,Nova,SUP0048,4471.06,2025-07-17 00:00:00,2025-11-06 00:00:00
P00048,Grocery Product 48,GROCERY,Nova,SUP0049,5018.49,2025-04-01 00:00:00,2025-09-22 00:00:00
P00049,Home Product 49,GROCERY,Zenith,SUP0050,856.91,2025-12-31 00:00:00,2026-01-26 00:00:00
P00050,Grocery Product 50,ELECTRONICS,Apex,SUP0051,930.35,2025-11-25 00:00:00,2026-02-21 00:00:00
P00051,Electronics Product 51,BEAUTY,Vertex,SUP0052,8015.72,2025-10-31 00:00:00,2026-04-30 00:00:00
P00052,Electronics Product 52,SPORTS,FreshWay,SUP0053,6138.64,2025-04-13 00:00:00,2025-09-27 00:00:00
P00053,Home Product 53,FASHION,Zenith,SUP0054,4727.29,2026-07-17 00:00:00,2026-11-20 00:00:00
P00054,Fashion Product 54,OFFICE,FreshWay,SUP0055,6510.78,2026-02-21 00:00:00,2026-05-20 00:00:00
P00055,Home Product 55,ELECTRONICS,Zenith,SUP0056,8397.51,2025-11-30 00:00:00,2026-01-26 00:00:00
P00056,Grocery Product 56,BEAUTY,PrimeHome,SUP0057,12872.42,2025-04-11 00:00:00,2025-09-21 00:00:00
P00057,Home Product 57,GROCERY,Nova,SUP0058,6283.79,2025-10-01 00:00:00,2026-04-04 00:00:00
P00058,Sports Product 58,FASHION,Zenith,SUP0059,1589.53,2025-03-26 00:00:00,2025-07-21 00:00:00
P00059,Fashion Product 59,FASHION,Vertex,SUP0060,14733.93,2025-04-18 00:00:00,2025-08-03 00:00:00
P00060,Electronics Product 60,ELECTRONICS,Zenith,SUP0061,13328.41,2025-04-06 00:00:00,2025-10-12 00:00:00
P00061,Fashion Product 61,GROCERY,Apex,SUP0062,9979.10,2026-06-24 00:00:00,2026-08-07 00:00:00
P00062,Beauty Product 62,SPORTS,Apex,SUP0063,6290.18,2025-05-07 00:00:00,2025-09-22 00:00:00
P00063,Grocery Product 63,FASHION,Nova,SUP0064,9510.65,2025-05-09 00:00:00,2025-09-23 00:00:00
P00064,Fashion Product 64,BEAUTY,Apex,SUP0065,9773.23,2025-12-31 00:00:00,2026-04-17 00:00:00
P00065,Office Product 65,BEAUTY,Apex,SUP0066,505.63,2026-08-06 00:00:00,2026-10-04 00:00:00
P00066,Beauty Product 66,SPORTS,Zenith,SUP0067,13989.36,2025-10-05 00:00:00,2025-11-06 00:00:00
